;Unnamed: 0;Challenge ID;Submitby Date Time;Tc Direct Project ID;Challenge Manager;Challenge Copilot;Posting Date Date;Track;Technology List;Duration;Num Valid Submissions;First Place Prize;Num Appeals;Num Checkpoint Submissions;Num Registrations;Num Submissions;Num Submissions Passed Review;Num Successful Appeals;Num Valid Checkpoint Submissions;Contest Prizes Total;Copilot Cost;Total Prize
0;1;30052965;1899-12-31 00:00:00;9130;mtwomey;Wendell;11/02/2016;Develop;.NET,ASP.NET,C#,REST,SQL Server;0;0;US$1.500,00;0;0;30;0;0;0;0;US$0,00;US$0,00;US$2.250,00
1;2;30056740;1899-12-31 00:00:00;11102;0;maroosh;23/03/2017;Develop;Bootstrap,CSS,HTML5,JavaScript;0;0;US$2.000,00;0;0;47;0;0;0;0;US$0,00;US$0,00;US$3.000,00
2;3;30061133;1899-12-31 00:00:00;15970;0;fajar.mln;12/12/2017;Design;0;0;0;US$1.300,00;0;7;24;0;0;0;7;US$0,00;US$0,00;US$2.500,00
3;4;30053041;1899-12-31 00:00:00;9362;0;Wendell;23/02/2016;Develop;.NET,ASP.NET,C#;0;0;US$1.000,00;0;0;30;0;0;0;0;US$0,00;US$0,00;US$1.500,00
4;5;30061801;1899-12-31 00:00:00;15373;0;Wendell;03/01/2018;Develop;Android,HTML5,Ionic,JavaScript,iOS;0;0;US$1.800,00;0;0;20;0;0;0;0;US$0,00;US$0,00;US$2.700,00
5;6;30053830;1899-12-31 00:00:00;8576;mcards13;Wendell;20/04/2016;Develop;Angular.js,HTML5,Node.js;0;0;US$400,00;0;0;23;0;0;0;0;US$0,00;US$0,00;US$600,00
6;7;30060035;1899-12-31 00:00:00;15613;0;lunarkid;23/10/2017;Design;0;0;0;US$1.700,00;0;0;12;0;0;0;0;US$75,00;US$0,00;US$3.250,00
7;8;30053306;1899-12-31 00:00:00;9307;0;maroosh;12/03/2016;Design;0;0;2;US$1.300,00;0;19;65;2;2;0;18;US$250,00;US$0,00;US$1.850,00
8;9;30060412;1899-12-31 00:00:00;15240;0;Ghostar;09/11/2017;Develop;ReactJS;0;0;US$1.300,00;0;0;29;0;0;0;0;US$0,00;US$0,00;US$1.950,00
9;10;30058593;1899-12-31 00:00:00;14312;0;Wendell;06/08/2017;Develop;Angular.js (1.0),CSS,HTML5,JavaScript;0;1;US$1.200,00;0;0;35;1;1;0;0;US$0,00;US$0,00;US$1.800,00
10;11;30051999;1899-12-31 00:00:00;9237;WishingBone;seeef;17/03/2016;Develop;HTML,JavaScript,Node.js,Other;0;0;US$1.200,00;0;0;24;0;0;0;0;US$0,00;US$0,00;US$1.800,00
11;12;30061115;1899-12-31 00:00:00;16045;0;lunarkid;13/12/2017;Design;0;0;0;US$1.000,00;0;2;23;0;0;0;2;US$0,00;US$0,00;US$1.800,00
12;13;30061261;1899-12-31 00:00:00;15509;0;talesforce;18/12/2017;Develop;JSON,Java,Java Application,REST,Spring;0;0;US$1.200,00;0;0;59;0;0;0;0;US$0,00;US$0,00;US$1.800,00
13;14;30058882;1899-12-31 00:00:00;15106;kalimulla.s;0;15/09/2017;Design;0;0;0;US$23,00;0;0;0;0;0;0;0;US$75,00;US$0,00;US$28,00
14;15;30053411;1899-12-31 00:00:00;9464;globalcitizen;harrywynn;22/03/2016;Develop;Bootstrap,CSS,HTML5,JavaScript,jQuery;0;0;US$1.500,00;0;0;4;0;0;0;0;US$0,00;US$0,00;US$2.250,00
15;16;30064253;1899-12-31 00:00:00;14568;0;Wendell;04/04/2018;Develop;C#;0;0;US$1.300,00;0;0;9;0;0;0;0;US$0,00;US$0,00;US$1.950,00
16;17;30064330;1899-12-31 00:00:00;16626;0;iversonLv;06/04/2018;Develop;CSS,HTML5,JavaScript;0;0;US$1.800,00;0;0;58;0;0;0;0;US$0,00;US$0,00;US$2.700,00
17;18;30066031;1899-12-31 00:00:00;16633;0;0;06/06/2018;Design;0;0;0;US$1.250,00;0;0;0;0;0;0;0;US$0,00;US$0,00;US$1.500,00
18;19;30052867;1899-12-31 00:00:00;9391;andrew.abbott;Ghostar;08/02/2016;Develop;C++;0;0;US$800,00;0;0;0;0;0;0;0;US$0,00;US$0,00;US$1.200,00
19;20;30055953;1899-12-31 00:00:00;10926;jcori;talesforce;13/12/2016;Develop;CSS,HTML,HTML5,JavaScript;0;0;US$1.200,00;0;0;28;0;0;0;0;US$0,00;US$0,00;US$1.800,00
20;21;30058226;1899-12-31 00:00:00;14311;pizza_and_dog;talesforce;01/07/2017;Develop;Actian Vector - SMP Analytics Database;0;0;US$100,00;0;0;0;0;0;0;0;US$0,00;US$0,00;US$500,00
21;22;30053204;1899-12-31 00:00:00;9429;andrew.abbott;Ghostar;04/04/2016;Develop;JavaScript;0;0;US$2.200,00;0;0;0;0;0;0;0;US$0,00;US$0,00;US$3.300,00
22;23;30055985;1899-12-31 00:00:00;11584;0;mahestro;19/12/2016;Design;0;0;0;US$1.300,00;0;0;0;0;0;0;0;US$0,00;US$0,00;US$2.000,00
23;24;30053192;1899-12-31 00:00:00;9427;0;callmekatootie;06/03/2016;Develop;CSS,HTML5,jQuery;0;0;US$900,00;0;0;25;0;0;0;0;US$0,00;US$0,00;US$1.350,00
